ProductName,Brand,Price,DiscountPrice,Image_Url,Quantity,Category,SubCategory,Absolute_Url
Onion (Loose),Fresho,69.75,52.00,https://www.bigbasket.com/media/uploads/p/l/40075537_5-fresho-onion.jpg,2 kg,Fruits & Vegetables,"Potato, Onion & Tomato",https://www.bigbasket.com/pd/40075537/fresho-onion-2-kg/
Onion,Fresho,174.35,130.00,https://www.bigbasket.com/media/uploads/p/l/1201414_1-fresho-onion.jpg,5 kg,Fruits & Vegetables,"Potato, Onion & Tomato",https://www.bigbasket.com/pd/1201414/fresho-onion-5-kg/
Onion (Loose),Fresho,34.87,26.00,https://www.bigbasket.com/media/uploads/p/l/10000148_30-fresho-onion.jpg,1 kg,Fruits & Vegetables,"Potato, Onion & Tomato",https://www.bigbasket.com/pd/10000148/fresho-onion-1-kg/
Onion,Fresho,69.74,52.00,https://www.bigbasket.com/media/uploads/p/l/1201413_1-fresho-onion.jpg,2 kg,Fruits & Vegetables,"Potato, Onion & Tomato",https://www.bigbasket.com/pd/1201413/fresho-onion-2-kg/
Onion (Loose),Fresho,174.37,129.00,https://www.bigbasket.com/media/uploads/p/l/10000150_19-fresho-onion.jpg,5 kg,Fruits & Vegetables,"Potato, Onion & Tomato",https://www.bigbasket.com/pd/10000150/fresho-onion-5-kg/
"Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free",Fresho,110.00,78.00,https://www.bigbasket.com/media/uploads/p/l/40072320_2-fresho-farm-eggs-table-tray-medium-antibiotic-residue-free.jpg,12 pcs,"Eggs, Meat & Fish",Farm Eggs,https://www.bigbasket.com/pd/40072320/fresho-farm-eggs-table-tray-medium-antibiotic-residue-free-12-pcs/
"Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free",Fresho,210.00,181.00,https://www.bigbasket.com/media/uploads/p/l/150502_6-fresho-farm-eggs-table-tray-medium-antibiotic-residue-free.jpg,30 pcs,"Eggs, Meat & Fish",Farm Eggs,https://www.bigbasket.com/pd/150502/fresho-farm-eggs-table-tray-medium-antibiotic-residue-free-30-pcs/
Potato (Loose),Fresho,50.32,38.75,https://www.bigbasket.com/media/uploads/p/l/40048457_9-fresho-potato-new-crop.jpg,1 kg,Fruits & Vegetables,"Potato, Onion & Tomato",https://www.bigbasket.com/pd/40048457/fresho-potato-new-crop-1-kg/
Potato,Fresho,100.65,77.50,https://www.bigbasket.com/media/uploads/p/l/40162469_6-fresho-potato-new-crop.jpg,2 kg,Fruits & Vegetables,"Potato, Onion & Tomato",https://www.bigbasket.com/pd/40162469/fresho-potato-new-crop-2-kg/
Eggs - Regular,Fresho,250.00,250.00,https://www.bigbasket.com/media/uploads/p/l/1205938_1-fresho-eggs-regular.jpg,5x6 pcs,"Eggs, Meat & Fish",Farm Eggs,https://www.bigbasket.com/pd/1205938/fresho-eggs-regular-5x6-pcs/
