,ProductName,Brand,Price,DiscountPrice,Image_Url,Quantity,Category,SubCategory
516,Wottagirl Fragrant Body Splash - Secret Crush,Layerr,215.0,161.25,https://www.bigbasket.com/media/uploads/p/l/30006265_4-layerr-wottagirl-perfume-spray-secret-crush.jpg,135,Beauty & Hygiene,Women's Deodorants
553,Air Condoms,Durex,82.0,67.24,https://www.bigbasket.com/media/uploads/p/l/40120850_4-durex-air-condoms.jpg,3,Beauty & Hygiene,Sexual Wellness
670,Wottagirl Fragrant Body Splash - Vanilla Twist,Layerr,215.0,172.0,https://www.bigbasket.com/media/uploads/p/l/30006267_4-layerr-wottagirl-fragrant-body-splash-vanilla-twist.jpg,135,Beauty & Hygiene,Women's Deodorants
723,"Dark Fantasy - Choco Creme, Made With Real Chocolate",Sunfeast,80.0,60.0,https://www.bigbasket.com/media/uploads/p/l/40206760_2-sunfeast-dark-fantasy-cream-biscuit-choco-creme.jpg,300,Snacks & Branded Foods,Cream Biscuits & Wafers
767,Lube - Tingle Lubricant,Durex,499.0,374.0,https://www.bigbasket.com/media/uploads/p/l/40020171_9-durex-lube-tingle-lubricant.jpg,50,Beauty & Hygiene,Sexual Wellness
768,Lube - Cheeky Cherry,Durex,499.0,449.0,https://www.bigbasket.com/media/uploads/p/l/40020172_8-durex-lube-cheeky-cherry.jpg,50,Beauty & Hygiene,Sexual Wellness
779,Shot Fragrant Body Spray - Deep Desire,Layerr,199.0,119.4,https://www.bigbasket.com/media/uploads/p/l/30006261_4-layerr-shot-body-spray-shot-deep-desire.jpg,135,Beauty & Hygiene,Women's Deodorants
785,Perfumed Deo - Exotic,Spinz,195.0,126.75,https://www.bigbasket.com/media/uploads/p/l/263764_5-spinz-perfumed-deo-exotic.jpg,150,Beauty & Hygiene,Women's Deodorants
887,Deodorant Body Spray for Women - Romance,Secret Temptation,299.0,179.4,https://www.bigbasket.com/media/uploads/p/l/40194960_2-secret-temptation-romance-deodorant.jpg,225,Beauty & Hygiene,Women's Deodorants
899,"Easy Adult Diaper, Large",Friends,115.0,98.9,https://www.bigbasket.com/media/uploads/p/l/40207195_1-friends-easy-adult-diaper-large.jpg,2,Beauty & Hygiene,Adult Diapers
900,"Extra Absorb - Size XL 10, Highly Absorbent Adult Diapers, Easy Self Wear",Lifree,600.0,450.0,https://www.bigbasket.com/media/uploads/p/l/40075460_4-lifree-extra-absorbent-pant-style-adult-diapers-with-flexible-waistband-xl.jpg,10,Beauty & Hygiene,Adult Diapers
