ProductName,Brand,Price,DiscountPrice,Image_Url,Quantity,Category,SubCategory
Onion (Loose),Fresho,69.75,52.0,https://www.bigbasket.com/media/uploads/p/l/40075537_5-fresho-onion.jpg,2,Fruits & Vegetables,"Potato, Onion & Tomato"
Onion,Fresho,174.35,130.0,https://www.bigbasket.com/media/uploads/p/l/1201414_1-fresho-onion.jpg,5,Fruits & Vegetables,"Potato, Onion & Tomato"
"Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free",Fresho,110.0,78.0,https://www.bigbasket.com/media/uploads/p/l/40072320_2-fresho-farm-eggs-table-tray-medium-antibiotic-residue-free.jpg,12,"Eggs, Meat & Fish",Farm Eggs
Potato (Loose),Fresho,50.32,38.75,https://www.bigbasket.com/media/uploads/p/l/40048457_9-fresho-potato-new-crop.jpg,1,Fruits & Vegetables,"Potato, Onion & Tomato"
"Farm Eggs - Regular, Medium, Antibiotic Residue-Free",Fresho,50.0,38.0,https://www.bigbasket.com/media/uploads/p/l/281204_9-fresho-farm-eggs-regular-medium-antibiotic-residue-free.jpg,6,"Eggs, Meat & Fish",Farm Eggs
Atta/Godihittu - Whole Wheat,Aashirvaad,119.0,118.0,https://www.bigbasket.com/media/uploads/p/l/161826_8-aashirvaad-atta-whole-wheat.jpg,2,"Foodgrains, Oil & Masala",Atta Whole Wheat
Tomato - Hybrid (Loose),Fresho,26.9,17.5,https://www.bigbasket.com/media/uploads/p/l/10000200_17-fresho-tomato-hybrid.jpg,1,Fruits & Vegetables,"Potato, Onion & Tomato"
Tea,Red Label,40.0,40.0,https://www.bigbasket.com/media/uploads/p/l/266616_16-red-label-tea.jpg,100,Beverages,Leaf & Dust Tea
Tomato - Local (Loose),Fresho,25.97,17.5,https://www.bigbasket.com/media/uploads/p/l/10000203_16-fresho-tomato-local.jpg,1,Fruits & Vegetables,"Potato, Onion & Tomato"
Carrot - Orange (Loose),Fresho,50.65,39.0,https://www.bigbasket.com/media/uploads/p/l/10000072_16-fresho-carrot-orange.jpg,500,Fruits & Vegetables,Root Vegetables
Idly & Dosa Batter,iD Fresho,79.0,72.5,https://www.bigbasket.com/media/uploads/p/l/271205_14-id-fresho-idly-dosa-batter.jpg,1,Snacks & Branded Foods,Breakfast & Snack Mixes
"Original Bathing Bar Soap, Daily Protection from Germs",Dettol,75.0,75.0,https://www.bigbasket.com/media/uploads/p/l/100008548_25-dettol-original-bathing-soap-bar-with-76-tfm-protects-from-germs.jpg,125,Beauty & Hygiene,Bathing Bars & Soaps
"Rice/Akki - Raw, Sona Masoori",BB Royal,70.0,57.0,https://www.bigbasket.com/media/uploads/p/l/10000457_13-bb-royal-rice-raw-sona-masoori.jpg,1,"Foodgrains, Oil & Masala",Raw Rice
"Rice/Akki - Raw, Sona Masoori, 12-17 Months Old",BB Royal,700.0,545.0,https://www.bigbasket.com/media/uploads/p/l/10000404_18-bb-royal-rice-raw-sona-masoori-12-17-months-old.jpg,10,"Foodgrains, Oil & Masala",Raw Rice
Sona Masoori Raw Rice/Akki,BB Royal,1750.0,1245.0,https://www.bigbasket.com/media/uploads/p/l/20001214_15-bb-royal-sona-masoori-raw-rice.jpg,25,"Foodgrains, Oil & Masala",Raw Rice
"Tender Coconut Water - No Added Sugar, Flavours",Fresho,50.0,39.0,https://www.bigbasket.com/media/uploads/p/l/40216129_10-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,200,Beverages,Juices
Original Extra Virgin Olive Oil,BORGES,1400.0,728.0,https://www.bigbasket.com/media/uploads/p/l/40006250_7-borges-extra-virgin-olive-oil.jpg,1,Gourmet & World Food,Extra Virgin Olive Oil
Extra Virgin Olive Oil,BORGES,6000.0,3060.0,https://www.bigbasket.com/media/uploads/p/l/40208261_1-borges-extra-virgin-olive-oil.jpg,5,Gourmet & World Food,Extra Virgin Olive Oil
Frozen Green Peas,Fresho,135.0,99.0,https://www.bigbasket.com/media/uploads/p/l/40192104_9-fresho-frozen-green-peas.jpg,500,Snacks & Branded Foods,Frozen Vegetables
Tea - Natural Care,Red Label,650.0,567.0,https://www.bigbasket.com/media/uploads/p/l/226491_10-red-label-tea-natural-care.jpg,1,Beverages,Leaf & Dust Tea
Carbon Zinc Battery Red HD AA 1015,Eveready,360.0,261.9,https://www.bigbasket.com/media/uploads/p/l/1214632_2-eveready-carbon-zinc-battery-red-hd-aa-1015.jpg,2,"Kitchen, Garden & Pets",Battery & Electrical
Rich & Flavourful Tea,Taj Mahal,90.0,90.0,https://www.bigbasket.com/media/uploads/p/l/266597_12-taj-mahal-rich-flavourful-tea.jpg,100,Beverages,Leaf & Dust Tea
Ladies Finger (Loose),Fresho,31.82,24.5,https://www.bigbasket.com/media/uploads/p/l/10000144_13-fresho-ladies-finger.jpg,500,Fruits & Vegetables,"Beans, Brinjals & Okra"
"Dry Pet Food - For Adult Dogs, Chicken & Vegetables",Pedigree,105.0,105.0,https://www.bigbasket.com/media/uploads/p/l/265378_14-pedigree-dry-dog-food-chicken-vegetables-for-adult-dogs.jpg,400,"Kitchen, Garden & Pets",Pet Meals & Treats
Antiseptic Disinfectant Liquid,Dettol,66.55,66.55,https://www.bigbasket.com/media/uploads/p/l/253537_9-dettol-antiseptic-disinfectant-liquid.jpg,125,Beauty & Hygiene,Antiseptics & Bandages
Cumin/Jeera/Jeerige - Whole,BB Royal,600.0,380.0,https://www.bigbasket.com/media/uploads/p/l/40030808_10-bb-royal-cuminjeera-whole.jpg,1,"Foodgrains, Oil & Masala",Whole Spices
GoodLife UHT Treated Toned Milk,Nandini,28.0,28.0,https://www.bigbasket.com/media/uploads/p/l/242671_1-nandini-goodlife-toned-milk.jpg,500,"Bakery, Cakes & Dairy",Milk
"Assam Teas With Gently Rolled Aromatic Long Leaves, Rich & Aromatic Chai, Black Tea",Tata Tea Gold,620.0,527.0,https://www.bigbasket.com/media/uploads/p/l/240065_14-tata-tea-gold-tea.jpg,1,Beverages,Leaf & Dust Tea
Sun Lite - Sunflower Refined Oil,Fortune ,189.0,181.0,https://www.bigbasket.com/media/uploads/p/l/274145_14-fortune-sun-lite-sunflower-refined-oil.jpg,1,"Foodgrains, Oil & Masala","Sunflower, Rice Bran Oil"
"Cream Beauty Bathing Bar - For Soft, Smooth Skin",Dove,870.0,696.0,https://www.bigbasket.com/media/uploads/p/l/40158282_10-dove-cream-beauty-bathing-bar.jpg,100,Beauty & Hygiene,Bathing Bars & Soaps
"Sunrise Instant Coffee Powder - Chicory Mix, Extra Strong",Nescafe ,785.0,785.0,https://www.bigbasket.com/media/uploads/p/l/118572_3-nescafe-sunrise-extra-sachet.jpg,1,Beverages,Instant Coffee
"Gulabari Premium Rose Water - Daily Glow, All Skin Types, Paraben Free, Alcohol Free",Dabur,85.0,72.0,https://www.bigbasket.com/media/uploads/p/l/263860_8-dabur-gulabari-premium-rose-water-paraben-free-skin-toner.jpg,250,Beauty & Hygiene,Face Care
Pasteurised Butter,Amul,255.0,251.0,https://www.bigbasket.com/media/uploads/p/l/104864_8-amul-butter-pasteurised.jpg,500,"Bakery, Cakes & Dairy",Butter & Margarine
Chana Dal/Kadale Bele,BB Royal,160.0,99.0,https://www.bigbasket.com/media/uploads/p/l/10000803_14-bb-royal-channa-dal.jpg,1,"Foodgrains, Oil & Masala","Toor, Channa & Moong Dal"
Maida,BB Royal,60.0,45.0,https://www.bigbasket.com/media/uploads/p/l/10000416_12-bb-royal-maida.jpg,1,"Foodgrains, Oil & Masala","Sooji, Maida & Besan"
"Moong - Green, Whole/Sabut",BB Royal,90.0,69.0,https://www.bigbasket.com/media/uploads/p/l/10000443_16-bb-royal-moong-green-wholesabut.jpg,500,"Foodgrains, Oil & Masala","Toor, Channa & Moong Dal"
Green Moong Whole/Hesaru Kaalu - Sabut,BB Royal,180.0,135.0,https://www.bigbasket.com/media/uploads/p/l/20000437_12-bb-royal-green-moong-wholesabut.jpg,1,"Foodgrains, Oil & Masala","Toor, Channa & Moong Dal"
"Black Soft Drink - Max Taste, Zero Sugar(Diet)",Pepsi,35.0,33.25,https://www.bigbasket.com/media/uploads/p/l/40104245_6-pepsi-black-soft-drink-max-taste-zero-caldiet.jpg,250,Beverages,Cold Drinks
Poha /Avalakki/Aval/Chivda -Thick,BB Royal,40.0,35.0,https://www.bigbasket.com/media/uploads/p/l/10000453_14-bb-royal-poha-avalakkiavalchivda-thick.jpg,500,"Foodgrains, Oil & Masala","Poha, Sabudana & Murmura"
"Poha/Avalakki/Aval/Chivda Thick - Flattened & Beaten Rice , Makers Breakfast &  Teatime Snacks",BB Royal,80.0,58.0,https://www.bigbasket.com/media/uploads/p/l/10000431_18-bb-royal-pohaavalakkiavalchivda-thick.jpg,1,"Foodgrains, Oil & Masala","Poha, Sabudana & Murmura"
Urad Dal/Uddina Bele - Split,BB Popular,200.0,139.0,https://www.bigbasket.com/media/uploads/p/l/30010377_11-bb-popular-urad-dal-split.jpg,1,"Foodgrains, Oil & Masala",Urad & Other Dals
Mustard/Sasive/Rai - Small,BB Royal,150.0,80.0,https://www.bigbasket.com/media/uploads/p/l/40026602_10-bb-royal-mustardrai-small.jpg,500,"Foodgrains, Oil & Masala",Whole Spices
Organic - Almond/Badam,BB Royal,675.0,549.0,https://www.bigbasket.com/media/uploads/p/l/40101871_11-bb-royal-organic-almondbadam.jpg,500,"Foodgrains, Oil & Masala",Organic Dry Fruits
Ridge Gourd,Fresho,45.45,21.5,https://www.bigbasket.com/media/uploads/p/l/10000176_15-fresho-ridge-gourd.jpg,500,Fruits & Vegetables,"Gourd, Pumpkin, Drumstick"
Coccinia (Loose),Fresho,87.66,58.5,https://www.bigbasket.com/media/uploads/p/l/10000089_19-fresho-coccinia.jpg,1,Fruits & Vegetables,Cucumber & Capsicum
"Rolled Oats - Rich In Protein, Nutritious, Easy To Cook",Quaker,338.0,338.0,https://www.bigbasket.com/media/uploads/p/l/40091105_13-quaker-rolled-oats-rich-in-protein-nutritious-easy-to-cook.jpg,2,Snacks & Branded Foods,Oats & Porridge
Sooji - Bansi,BB Royal,38.0,26.0,https://www.bigbasket.com/media/uploads/p/l/10000464_9-bb-royal-sooji-bansi.jpg,500,"Foodgrains, Oil & Masala","Sooji, Maida & Besan"
Bansi Sooji,BB Royal,75.0,49.0,https://www.bigbasket.com/media/uploads/p/l/40018904_4-bb-royal-bansi-sooji.jpg,1,"Foodgrains, Oil & Masala","Sooji, Maida & Besan"
Radish - White (Loose),Fresho,37.66,24.5,https://www.bigbasket.com/media/uploads/p/l/10000164_14-fresho-radish-white.jpg,1,Fruits & Vegetables,Root Vegetables
Organic - Brown Sugar/Sakkare,BB Royal,499.0,375.0,https://www.bigbasket.com/media/uploads/p/l/40114163_16-bb-royal-organic-brown-sugar.jpg,5,"Foodgrains, Oil & Masala","Organic Sugar, Jaggery"
Besan Fine/Kadale Hittu,BB Royal,75.0,45.0,https://www.bigbasket.com/media/uploads/p/l/10000475_8-bb-royal-besan-flour.jpg,500,"Foodgrains, Oil & Masala","Sooji, Maida & Besan"
Rice - Flour,BB Royal,60.0,41.0,https://www.bigbasket.com/media/uploads/p/l/10000458_11-bb-royal-rice-flour.jpg,1,"Foodgrains, Oil & Masala",Rice & Other Flours
Moong Dal/Hesaru Bele,BB Royal,100.0,71.0,https://www.bigbasket.com/media/uploads/p/l/10000440_17-bb-royal-moong-dal.jpg,500,"Foodgrains, Oil & Masala","Toor, Channa & Moong Dal"
Soft Drink,Mountain Dew,35.0,33.25,https://www.bigbasket.com/media/uploads/p/l/292398_9-mountain-dew-soft-drink.jpg,250,Beverages,Cold Drinks
Brinjal - Bottle Shape (Loose),Fresho,96.1,74.0,https://www.bigbasket.com/media/uploads/p/l/10000053_18-fresho-brinjal-bottle-shape.jpg,1,Fruits & Vegetables,"Beans, Brinjals & Okra"
Idli Rice,BB Royal,65.0,48.0,https://www.bigbasket.com/media/uploads/p/l/10000450_17-bb-royal-idli-rice.jpg,1,"Foodgrains, Oil & Masala",Boiled & Steam Rice
"Atta Sharbati 100% Mp Whole Wheat, Rotis Stay Softer For Longer",BB Royal,68.0,59.0,https://www.bigbasket.com/media/uploads/p/l/40151625_7-bb-royal-superior-mp-sharbati-atta-fortified.jpg,1,"Foodgrains, Oil & Masala",Atta Whole Wheat
Atta Sharbati 100% MP Whole Wheat Rotis Stay Softer For Longer,BB Royal,330.0,245.0,https://www.bigbasket.com/media/uploads/p/l/40151626_7-bb-royal-superior-mp-sharbati-atta-fortified.jpg,5,"Foodgrains, Oil & Masala",Atta Whole Wheat
Superior-Mp-Sharbati-Atta/Godihittu - Fortified,BB Royal,35.0,35.0,https://www.bigbasket.com/media/uploads/p/l/40189428_2-bb-royal-superior-mp-sharbati-atta-fortified.jpg,500,"Foodgrains, Oil & Masala",Atta Whole Wheat
"Methi/Venthaya Keerai - Cleaned, without roots",Fresho,69.48,28.0,https://www.bigbasket.com/media/uploads/p/l/10000112_18-fresho-methiventhaya-keerai-cleaned-without-roots.jpg,250,Fruits & Vegetables,Leafy Vegetables
Durum Wheat Pasta - Fusilli,BORGES,299.0,149.5,https://www.bigbasket.com/media/uploads/p/l/303129_2-borges-durum-wheat-pasta-fusilli.jpg,500,Gourmet & World Food,Pastas & Spaghetti
